# Legend of Dataset
Key	Feature
0	Chamfer
1	Through hole
2	Triangular passage
3	Rectangular passage
4	6-sides passage
5	Triangular through slot
6	Rectangular through slot
7	Circular through slot
8	Rectangular through step
9	2-sides through step
10	Slanted through step
11	O-ring
12	Blind hole
13	Triangular pocket
14	Rectangular pocket
15	6-sides pocket
16	Circular end pocket
17	Rectangular blind slot
18	Vertical circular end blind slot
19	Horizontal circular end blind slot
20	Triangular blind step
21	Circular blind step
22	Rectangular blind step
23	Round
24	Stock
